step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,60,-1,0,57,0,103,0,115,0,114,0,12,20,113,0,0,560,0
400,409,122,-1,0,68,0,154,0,194,0,205,0,18,41,196,0,0,1128,0
600,609,178,-1,0,75,0,206,0,288,0,310,0,20,77,285,1,2,1710,0
800,809,244,-1,0,83,0,261,0,388,0,422,0,19,62,388,2,4,2252,0
1000,1009,306,-1,0,87,0,298,0,469,0,518,0,18,87,466,2,4,2809,0
1200,1209,365,-1,0,86,0,311,0,532,0,598,0,20,80,517,1,2,3386,0
1400,1409,428,-1,0,91,0,331,0,564,0,667,0,20,116,563,1,2,3974,0
1600,1609,495,-1,0,89,0,347,0,617,0,758,0,20,121,622,1,2,4542,0
1800,1809,565,-1,0,87,0,367,0,683,0,837,0,20,123,673,2,4,5125,0
2000,2009,605,-1,0,91,0,370,0,725,0,924,0,20,117,729,1,2,5717,0
2200,2209,666,-1,0,87,0,376,0,753,0,994,0,20,170,765,1,2,6302,0
2400,2409,719,-1,0,89,0,389,0,828,0,1097,0,20,159,825,4,8,6885,0
2600,2609,781,-1,0,93,0,413,0,857,0,1183,0,20,174,872,3,6,7470,0
2800,2809,836,-1,0,93,0,416,0,931,0,1295,0,20,176,940,3,6,8042,0
3000,3009,905,3,0,96,1,427,5,977,6,1384,0,20,200,984,3,6,8624,0
3200,3209,959,3,0,95,4,442,8,1020,5,1472,0.02,20,236,1047,1,2,9211,0
3400,3409,1024,3,1,94,6,462,3,1076,7,1549,0.032,20,221,1068,1,2,9794,0
3600,3609,1085,5,0,97,1,477,14,1156,14,1669,0.0884,20,212,1141,3,6,10360,1
3800,3809,1138,7,3,98,5,487,14,1190,19,1772,0.0945,20,234,1177,4,8,10952,1
4000,4009,1193,9,2,96,2,483,13,1192,18,1836,0.1294,20,281,1211,3,6,11540,1
4200,4209,1252,11,1,97,5,487,13,1234,18,1913,0.1489,20,261,1228,1,2,12134,1
4400,4409,1311,13,1,99,7,507,9,1279,20,1988,0.1597,20,247,1282,1,2,12721,1
4600,4609,1365,16,1,98,6,513,18,1315,19,2076,0.1542,20,251,1334,3,6,13313,1
4800,4809,1430,19,1,97,5,514,16,1346,20,2155,0.1419,20,273,1370,3,6,13900,1
5000,5009,1493,22,2,99,7,500,18,1353,20,2222,0.1722,20,259,1375,4,8,14493,1
5200,5209,1560,24,1,95,9,508,16,1384,20,2299,0.1733,20,263,1396,6,12,15090,1
5400,5409,1616,26,0,99,8,514,20,1419,20,2377,0.2066,20,299,1423,7,14,15699,1
5600,5609,1683,28,1,101,10,525,19,1422,20,2436,0.2216,20,285,1408,6,12,16298,1
5800,5809,1740,31,3,99,7,522,19,1468,20,2475,0.1886,20,289,1440,6,12,16898,1
6000,6009,1799,36,2,99,12,527,19,1469,20,2560,0.1723,20,316,1499,5,10,17489,1
6200,6209,1847,40,2,95,12,533,16,1534,20,2659,0.1641,20,354,1572,7,14,18083,1
6400,6409,1908,44,2,100,17,564,20,1610,20,2812,0.162,20,309,1592,6,12,18651,1
