step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,56,-1,0,57,0,105,0,119,0,119,0,10,13,116,0,0,571,0
400,409,112,-1,0,73,0,179,0,221,0,230,0,20,50,224,0,0,1122,0
600,609,161,-1,0,80,0,224,0,317,0,337,0,18,60,314,1,2,1692,0
800,809,220,-1,0,84,0,258,0,379,0,426,0,19,80,382,2,4,2275,0
1000,1009,275,-1,0,87,0,284,0,453,0,531,0,20,110,462,3,6,2865,0
1200,1209,350,-1,0,87,0,321,0,533,0,625,0,19,121,528,4,8,3445,0
1400,1409,415,-1,0,92,0,344,0,602,0,717,0,20,117,597,6,12,4023,0
1600,1609,474,-1,0,89,0,349,0,661,0,805,0,20,139,660,6,12,4620,0
1800,1809,528,-1,0,86,0,371,0,703,0,883,0,20,137,712,5,10,5202,0
2000,2009,597,-1,0,93,0,396,0,775,0,978,0,20,174,766,15,30,5796,0
2200,2209,663,-1,0,93,0,412,0,835,0,1066,0,20,182,825,15,30,6394,0
2400,2409,727,-1,0,95,0,417,0,866,0,1150,0,20,170,881,21,42,7014,0
2600,2609,790,-1,0,97,0,443,0,946,0,1234,0,20,176,940,21,42,7620,0
2800,2809,864,-1,0,98,0,442,0,967,0,1313,0,20,195,977,22,44,8243,0
3000,3009,938,3,2,97,2,471,0,1041,7,1417,0,20,180,1050,13,26,8836,0
3200,3209,993,3,0,96,1,474,2,1076,4,1501,0,20,209,1103,15,30,9448,0
3400,3409,1054,3,0,100,2,483,3,1134,4,1578,0.03,20,196,1108,28,56,10082,0
3600,3609,1126,3,0,96,3,475,2,1150,5,1638,0.0234,20,222,1134,24,48,10714,0
3800,3809,1189,3,0,99,0,499,1,1167,4,1720,0.0181,20,262,1173,23,46,11343,0
4000,4009,1239,3,0,97,3,501,2,1203,0,1796,0.0139,20,261,1219,25,50,11979,0
4200,4209,1307,5,0,94,0,486,7,1230,6,1867,0.0781,20,232,1235,19,38,12602,1
4400,4409,1356,8,1,96,5,515,9,1281,13,1952,0.0678,20,240,1288,16,32,13223,1
4600,4609,1417,10,2,100,6,520,14,1335,19,2040,0.0661,20,259,1313,16,32,13828,1
4800,4809,1477,12,2,97,6,514,8,1347,19,2113,0.0886,20,258,1352,21,42,14455,1
5000,5009,1532,14,1,98,5,538,10,1391,19,2237,0.0846,20,286,1407,31,62,15095,1
5200,5209,1587,16,1,99,4,534,15,1459,18,2344,0.1018,20,302,1460,28,56,15727,1
5400,5409,1640,18,4,101,9,544,14,1492,20,2394,0.1347,20,337,1500,25,50,16358,1
5600,5609,1699,20,0,101,4,549,16,1534,20,2499,0.1391,20,314,1551,23,46,16979,1
5800,5809,1763,23,0,96,7,569,19,1571,20,2574,0.1365,20,309,1589,23,46,17597,1
6000,6009,1838,26,2,101,8,557,20,1598,20,2636,0.1379,20,315,1575,27,54,18235,1
6200,6209,1896,29,4,101,12,568,17,1616,20,2684,0.1522,20,298,1595,26,52,18875,1
6400,6409,1967,31,3,99,8,564,18,1610,20,2732,0.1489,20,321,1629,22,44,19496,1
6600,6609,2026,33,2,95,7,556,17,1622,20,2787,0.1395,20,360,1631,25,50,20135,1
6800,6809,2083,35,2,99,9,569,18,1669,20,2868,0.1571,20,357,1640,26,52,20772,1
7000,7009,2134,38,4,101,9,578,17,1652,20,2926,0.1675,20,357,1667,28,56,21419,1
7200,7209,2195,41,2,101,11,580,20,1701,20,2974,0.1539,20,332,1685,34,68,22069,1
7400,7409,2251,43,2,102,13,570,19,1711,20,3063,0.1481,20,357,1741,38,76,22726,1
7600,7609,2323,47,2,105,8,597,20,1802,20,3247,0.16,20,378,1838,39,78,23344,1
7800,7809,2371,49,2,106,7,603,17,1857,20,3311,0.1674,20,363,1845,42,84,24021,1
8000,8009,2427,51,1,101,11,601,19,1883,20,3379,0.2089,20,376,1869,43,86,24694,1
8200,8209,2485,55,4,102,14,614,19,1866,20,3472,0.2024,20,396,1899,48,96,25374,1
8400,8409,2540,58,3,100,12,615,20,1918,20,3505,0.1721,20,417,1901,53,106,26067,1
8600,8609,2602,61,1,103,15,617,19,1934,20,3582,0.1832,20,355,1959,52,104,26760,1
8800,8809,2651,65,1,102,11,604,20,1922,20,3671,0.1859,20,407,1943,47,94,27451,1
9000,9009,2716,67,2,100,13,609,20,1940,20,3718,0.1981,20,383,1957,48,96,28135,1
9200,9209,2775,70,0,100,12,608,20,2005,20,3843,0.1929,20,414,2028,48,96,28779,1
9400,9409,2845,72,2,100,13,631,20,2029,20,3918,0.1844,20,434,2048,47,94,29456,1
9600,9609,2897,74,2,104,13,627,19,2067,20,3971,0.1819,20,396,2037,51,102,30148,1
9800,9809,2956,76,3,104,13,645,20,2094,20,4086,0.1699,20,382,2079,53,106,30836,1
10000,10009,3021,80,2,103,9,648,20,2116,20,4145,0.1661,20,461,2150,55,110,31536,1
10200,10209,3077,82,1,104,9,634,20,2168,20,4224,0.1579,20,457,2182,53,106,32225,1
10400,10409,3139,87,7,104,10,637,19,2145,20,4253,0.1667,20,428,2181,53,106,32923,1
10600,10609,3207,90,0,103,12,651,20,2195,20,4351,0.1789,20,459,2186,64,128,33630,1
10800,10809,3260,92,2,103,14,656,20,2232,20,4430,0.1575,20,473,2219,72,144,34350,1
11000,11009,3314,96,3,105,14,652,20,2224,20,4469,0.1804,20,466,2246,77,154,35090,1
11200,11209,3385,99,2,104,11,641,20,2249,20,4561,0.1637,20,484,2200,71,142,35811,1
11400,11409,3451,102,4,106,15,667,20,2240,20,4629,0.1653,20,450,2222,63,126,36512,1
11600,11609,3510,105,4,101,13,666,20,2258,20,4702,0.1716,20,434,2249,71,142,37235,1
11800,11809,3566,110,5,100,15,659,20,2252,20,4764,0.2017,20,475,2281,71,142,37962,1
12000,12009,3624,113,4,105,12,646,20,2316,20,4835,0.1907,20,454,2313,71,142,38692,1
12200,12209,3687,115,4,102,12,663,20,2297,20,4904,0.1969,20,452,2302,72,144,39406,1
12400,12409,3758,118,2,105,11,665,20,2354,20,4938,0.1819,20,480,2340,68,136,40129,1
12600,12609,3818,122,2,103,12,660,20,2382,20,5007,0.1949,20,506,2378,71,142,40852,1
12800,12809,3878,125,2,104,11,670,20,2386,20,5084,0.1803,20,462,2342,74,148,41590,1
13000,13009,3936,127,3,102,12,655,20,2431,20,5172,0.2036,20,474,2391,70,140,42314,1
13200,13209,3994,131,1,101,15,661,20,2435,20,5260,0.1873,20,474,2422,65,130,43024,1
13400,13409,4061,134,3,104,14,664,20,2435,20,5273,0.1692,20,523,2421,67,134,43737,1
13600,13609,4131,136,6,103,13,679,20,2426,20,5324,0.1797,20,488,2450,73,146,44466,1
13800,13809,4186,138,3,104,14,702,20,2468,20,5410,0.1881,20,530,2491,77,154,45207,1
14000,14009,4251,140,4,103,14,664,20,2456,20,5481,0.2114,20,534,2488,60,120,45916,1
14200,14209,4314,144,4,105,15,670,20,2506,20,5540,0.2095,20,501,2460,63,126,46629,1
