degree,count
3,4313
4,1625
5,900
6,571
7,403
8,314
9,238
10,179
11,149
12,131
13,94
14,89
15,89
16,68
17,68
18,50
19,37
20,46
21,28
22,38
23,23
24,22
25,30
26,18
27,25
28,30
29,17
30,19
31,16
32,15
33,14
34,17
35,12
36,10
37,9
38,13
39,10
40,12
41,3
42,5
43,7
44,12
45,6
46,9
47,5
48,6
49,8
50,6
51,5
52,4
53,4
54,1
55,3
56,4
57,3
58,5
59,4
60,5
61,4
62,3
63,7
64,3
65,6
66,3
67,2
68,1
69,2
70,4
71,6
72,3
73,4
74,7
75,2
76,6
77,1
78,1
79,1
80,2
81,3
83,1
84,1
86,2
87,2
88,1
90,1
91,1
92,2
93,2
94,3
95,2
96,2
97,3
98,1
99,3
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,2
111,2
112,1
115,1
117,1
118,1
119,1
120,2
121,2
122,1
123,1
127,2
128,1
134,1
138,1
139,1
140,1
142,2
145,1
146,2
149,1
157,1
158,1
160,1
163,1
164,1
165,1
166,1
170,2
172,1
174,1
187,1
203,2
204,1
212,1
216,2
222,1
230,1
235,1
257,1
259,1
275,1
286,1
334,1
335,1
336,1
444,1
518,1
536,1
