degree,count
3,4449
4,1595
5,906
6,559
7,383
8,269
9,214
10,160
11,152
12,135
13,109
14,90
15,75
16,62
17,53
18,55
19,42
20,45
21,35
22,31
23,33
24,28
25,31
26,24
27,25
28,26
29,14
30,11
31,22
32,13
33,16
34,12
35,17
36,11
37,10
38,12
39,9
40,11
41,9
42,5
43,5
44,10
45,9
46,6
47,7
48,1
49,4
50,4
51,3
52,3
53,1
54,3
55,2
56,5
58,3
59,5
60,4
61,7
62,5
63,5
64,3
65,2
66,4
67,3
69,4
70,1
71,1
72,3
73,7
74,1
76,1
77,5
78,4
79,1
80,3
81,3
82,2
84,1
87,2
88,1
89,1
90,3
91,4
92,1
93,3
95,3
97,2
98,1
101,1
103,2
104,3
105,2
106,2
107,2
109,2
110,1
112,4
113,2
115,3
116,1
118,1
119,1
120,1
121,1
122,2
123,1
125,1
131,1
133,3
134,2
139,1
142,2
145,1
146,1
148,2
149,1
153,1
155,1
156,2
158,1
174,1
178,1
183,1
184,1
186,1
195,1
196,1
202,1
204,1
205,1
212,1
224,1
226,1
227,1
234,1
235,1
244,3
251,1
252,1
264,1
267,1
271,1
274,1
275,1
278,1
298,1
336,1
341,1
346,1
351,1
352,1
361,1
376,3
391,1
677,1
