step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0
400,409,126,-1,0,72,0,176,0,213,0,217,0,17,45,214,0,0,1111,0
600,609,196,-1,0,82,0,225,0,298,0,318,0,20,60,301,0,0,1644,0
800,809,245,-1,0,81,0,255,0,365,0,401,0,18,57,361,0,0,2213,0
1000,1009,308,-1,0,89,0,293,0,449,0,507,0,20,86,452,0,0,2761,0
1200,1209,359,-1,0,89,0,308,0,526,0,602,0,20,108,522,0,0,3342,0
1400,1409,411,-1,0,88,0,337,0,567,0,681,0,20,112,580,1,2,3918,0
1600,1609,481,-1,0,89,0,356,0,656,0,774,0,20,134,644,1,2,4498,0
1800,1809,539,-1,0,92,0,361,0,689,0,856,0,20,143,683,1,2,5078,0
2000,2009,606,-1,0,94,0,373,0,727,0,944,0,20,148,737,1,2,5664,0
2200,2209,657,-1,0,95,0,394,0,783,0,1035,0,20,178,803,1,2,6234,0
2400,2409,724,-1,0,90,0,395,0,839,0,1105,0,20,169,824,1,2,6814,0
2600,2609,768,-1,0,92,0,401,0,877,0,1199,0,20,153,882,1,2,7408,0
2800,2809,835,-1,0,94,0,417,0,894,0,1265,0,20,184,915,1,2,7998,0
3000,3009,894,3,0,95,0,431,5,965,12,1372,0,20,214,948,1,2,8576,0
3200,3209,958,3,0,96,3,441,7,1008,18,1460,0,20,226,1012,2,4,9161,0
3400,3409,1013,3,0,96,2,456,6,1041,11,1549,0,20,211,1049,3,6,9750,0
3600,3609,1075,3,0,95,2,450,5,1069,10,1610,0,20,194,1064,4,8,10342,0
3800,3809,1137,3,0,94,1,475,6,1132,11,1716,0.0129,20,229,1116,4,8,10935,0
4000,4009,1206,3,0,99,1,472,5,1212,6,1808,0.01,20,233,1160,4,8,11510,0
4200,4209,1256,3,1,99,0,489,4,1261,10,1936,0.0405,20,268,1250,4,8,12080,0
4400,4409,1317,3,0,96,2,506,5,1299,7,2048,0.0515,20,260,1321,2,4,12655,0
4600,4609,1379,3,0,96,1,515,1,1343,4,2126,0.0624,20,251,1335,4,8,13240,0
4800,4809,1437,3,0,98,3,524,3,1381,4,2209,0.0482,20,282,1387,4,8,13823,0
5000,5009,1513,3,0,96,0,533,3,1446,7,2325,0.0369,20,306,1423,3,6,14392,0
5200,5209,1558,3,0,99,1,513,5,1469,7,2407,0.0479,20,274,1447,3,6,14989,0
5400,5409,1610,3,1,100,1,526,6,1527,6,2497,0.0363,20,309,1491,3,6,15576,0
5600,5609,1674,3,0,100,3,531,3,1503,10,2568,0.0271,20,313,1537,3,6,16171,0
5800,5809,1737,3,0,98,2,534,3,1533,4,2627,0.0422,20,300,1505,3,6,16761,0
6000,6009,1791,3,0,99,0,543,1,1558,4,2709,0.0314,20,309,1543,3,6,17357,0
6200,6209,1845,3,0,99,1,549,6,1608,5,2792,0.0743,20,357,1599,1,2,17935,0
6400,6409,1900,3,0,99,1,562,4,1639,2,2843,0.0562,20,337,1632,0,0,18527,0
6600,6609,1963,3,0,99,1,575,1,1648,4,2935,0.1317,20,330,1659,1,2,19119,0
6800,6809,2031,5,0,99,0,558,8,1662,9,3012,0.1804,20,319,1664,2,4,19698,1
7000,7009,2095,7,0,100,4,556,8,1699,11,3065,0.2312,20,338,1711,2,4,20287,1
7200,7209,2159,9,0,100,1,576,10,1727,17,3122,0.1795,20,363,1686,2,4,20872,1
7400,7409,2221,11,0,99,3,571,8,1745,18,3224,0.2181,20,348,1728,3,6,21463,1
7600,7609,2270,14,0,101,2,567,16,1751,20,3291,0.2038,20,337,1729,2,4,22059,1
7800,7809,2333,16,0,102,6,577,11,1797,20,3356,0.2242,20,345,1752,2,4,22648,1
8000,8009,2406,19,0,100,3,577,15,1808,20,3380,0.1929,20,341,1796,1,2,23235,1
8200,8209,2471,21,0,100,7,562,17,1780,20,3482,0.2007,20,383,1841,1,2,23821,1
8400,8409,2529,24,0,98,9,578,14,1867,20,3558,0.1853,20,400,1850,1,2,24395,1
