degree,count
3,4390
4,1548
5,863
6,605
7,398
8,299
9,199
10,179
11,144
12,134
13,109
14,90
15,78
16,78
17,57
18,52
19,51
20,39
21,40
22,34
23,30
24,30
25,27
26,33
27,20
28,22
29,20
30,19
31,22
32,21
33,17
34,10
35,17
36,13
37,7
38,10
39,13
40,10
41,7
42,11
43,10
44,6
45,3
46,4
47,5
48,11
49,3
50,8
51,1
52,6
53,7
54,4
55,7
56,4
57,3
58,7
59,4
60,9
61,6
62,6
63,7
64,5
65,2
66,5
67,7
68,2
69,3
70,1
71,2
74,5
75,1
76,2
77,2
78,2
79,1
80,2
82,1
83,1
84,2
85,2
86,1
87,2
89,2
90,1
91,1
92,2
93,2
94,1
95,1
98,2
100,4
102,2
104,1
105,2
107,1
108,2
109,2
110,1
111,1
112,1
113,3
114,1
115,1
119,2
121,1
122,1
123,3
125,2
128,2
130,1
132,1
136,2
137,1
138,1
143,1
144,1
146,1
149,1
151,1
158,1
164,1
167,1
178,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
198,1
203,1
206,1
208,2
212,1
214,1
223,1
234,1
241,1
252,1
258,1
260,1
269,1
271,1
283,1
296,1
309,1
313,1
314,1
357,1
383,1
387,1
439,1
478,1
549,1
