degree,count
3,4410
4,1596
5,920
6,587
7,397
8,283
9,236
10,187
11,141
12,111
13,100
14,91
15,76
16,70
17,57
18,47
19,53
20,34
21,33
22,27
23,25
24,31
25,26
26,19
27,18
28,25
29,11
30,13
31,20
32,17
33,16
34,11
35,10
36,15
37,13
38,11
39,6
40,8
41,11
42,8
43,6
44,6
45,7
46,7
47,6
48,8
49,3
50,7
51,3
52,4
53,5
54,4
55,5
56,1
57,4
58,4
59,2
60,7
61,3
62,2
63,6
64,2
65,4
67,2
68,3
71,3
72,3
73,1
74,6
75,2
76,2
77,2
78,2
79,1
80,4
81,3
84,1
85,1
86,1
87,1
88,1
89,1
91,2
92,5
93,3
94,1
96,1
97,2
99,1
100,1
101,1
102,1
103,1
104,4
106,1
109,2
111,1
112,1
113,1
114,1
117,1
119,1
121,1
122,1
123,1
124,2
125,1
126,1
127,1
131,2
133,1
135,1
136,1
138,1
139,2
140,2
141,1
142,1
143,1
144,2
145,1
146,1
155,1
159,1
164,2
170,1
173,1
174,1
176,1
178,1
180,1
183,1
186,1
187,1
192,1
194,1
203,1
206,1
212,1
253,1
259,1
273,1
276,1
287,1
301,1
307,1
315,1
319,2
320,1
323,1
360,1
390,1
399,1
414,1
450,1
477,1
479,1
526,1
