step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,48,-1,0,58,0,109,0,122,0,125,0,11,14,123,0,0,575,0
400,409,99,-1,0,70,0,176,0,219,0,233,0,14,32,222,0,0,1155,0
600,609,160,-1,0,75,0,231,0,311,0,338,0,19,61,316,0,0,1715,0
800,809,222,-1,0,86,0,251,0,392,0,426,0,20,62,391,0,0,2274,0
1000,1009,267,-1,0,84,0,292,0,458,0,529,0,20,95,457,1,2,2858,0
1200,1209,316,-1,0,86,0,313,0,521,0,610,0,20,90,517,2,4,3448,0
1400,1409,372,-1,0,86,0,327,0,578,0,704,0,20,123,573,2,4,4032,0
1600,1609,439,-1,0,88,0,358,0,639,0,784,0,20,143,622,0,0,4615,0
1800,1809,497,-1,0,89,0,357,0,673,0,874,0,20,140,680,0,0,5204,0
2000,2009,556,-1,0,88,0,371,0,728,0,960,0,20,156,737,1,2,5786,0
2200,2209,602,-1,0,93,0,394,0,800,0,1064,0,20,164,795,1,2,6381,0
2400,2409,674,-1,0,92,0,387,0,826,0,1132,0,20,167,812,5,10,6970,0
2600,2609,722,-1,0,93,0,417,0,893,0,1239,0,20,185,880,9,18,7576,0
2800,2809,788,3,1,92,2,426,9,900,12,1286,0,20,186,923,6,12,8176,0
3000,3009,846,3,0,94,1,424,7,979,15,1411,0,20,195,970,5,10,8763,0
3200,3209,896,3,1,95,2,426,10,1024,18,1486,0,20,215,1017,6,12,9363,0
3400,3409,950,3,0,96,3,452,4,1086,14,1603,0.0113,20,222,1087,5,10,9952,0
3600,3609,1025,3,0,94,2,457,11,1134,19,1710,0.0194,20,223,1139,3,6,10531,0
3800,3809,1087,3,1,100,1,480,5,1168,18,1793,0.0251,20,212,1149,3,6,11111,0
4000,4009,1148,3,0,92,2,468,9,1205,17,1852,0.0194,20,235,1180,4,8,11710,0
4200,4209,1198,3,0,96,2,490,10,1230,17,1936,0.0278,20,234,1236,3,6,12300,0
4400,4409,1256,3,0,92,1,490,6,1262,18,2027,0.0214,20,239,1266,3,6,12885,0
4600,4609,1307,3,0,94,1,491,8,1288,18,2114,0.0263,20,295,1320,3,6,13475,0
4800,4809,1382,3,0,96,3,495,10,1310,18,2178,0.065,20,263,1329,3,6,14063,0
5000,5009,1438,5,0,99,0,508,10,1339,17,2239,0.0639,20,286,1370,4,8,14658,1
5200,5209,1504,7,0,99,5,519,12,1371,20,2314,0.0501,20,278,1383,4,8,15253,1
5400,5409,1576,9,0,99,4,513,9,1431,18,2423,0.059,20,292,1429,6,12,15839,1
5600,5609,1637,11,0,96,4,518,14,1464,20,2486,0.0538,20,300,1462,6,12,16432,1
5800,5809,1707,13,0,97,2,522,12,1462,20,2545,0.0889,20,258,1465,6,12,17034,1
6000,6009,1783,15,2,96,3,517,13,1506,17,2627,0.125,20,303,1497,4,8,17609,1
6200,6209,1847,17,1,98,6,546,13,1524,19,2686,0.1495,20,293,1512,3,6,18203,1
