step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,60,-1,0,57,0,103,0,115,0,114,0,12,20,113,0,0,560,0
400,409,122,-1,0,68,0,154,0,194,0,205,0,18,41,196,0,0,1128,0
600,609,178,-1,0,75,0,206,0,288,0,310,0,20,77,285,1,2,1710,0
800,809,244,-1,0,83,0,261,0,388,0,422,0,19,62,388,2,4,2252,0
1000,1009,306,-1,0,87,0,298,0,469,0,518,0,18,87,466,2,4,2809,0
1200,1209,365,-1,0,86,0,311,0,532,0,598,0,20,80,517,1,2,3386,0
1400,1409,428,-1,0,90,0,327,0,571,0,671,0,20,119,563,2,4,3976,0
1600,1609,491,-1,0,89,0,336,0,611,0,734,0,20,100,606,1,2,4563,0
1800,1809,543,-1,0,91,0,364,0,648,0,813,0,20,106,653,2,4,5158,0
2000,2009,603,-1,0,88,0,370,0,693,0,902,0,20,139,703,9,18,5763,0
2200,2209,660,-1,0,91,0,393,0,759,0,1018,0,20,174,764,2,4,6340,0
2400,2409,720,-1,0,92,0,394,0,805,0,1108,0,20,169,809,3,6,6924,0
2600,2609,790,-1,0,92,0,422,0,882,0,1217,0,20,168,884,9,18,7520,0
2800,2809,858,-1,0,97,0,439,0,946,0,1332,0,20,193,962,9,18,8094,0
3000,3009,922,3,0,96,1,461,8,1022,16,1440,0,20,225,1036,6,12,8658,0
3200,3209,985,3,1,97,2,460,4,1084,10,1557,0.009,20,230,1064,16,32,9262,0
3400,3409,1050,3,0,96,1,475,9,1118,16,1601,0.007,20,213,1132,18,36,9871,0
3600,3609,1116,3,0,95,1,471,9,1149,16,1675,0.0054,20,226,1150,9,18,10461,0
3800,3809,1182,3,1,97,3,486,10,1181,15,1756,0.0042,20,254,1185,9,18,11059,0
4000,4009,1246,3,0,96,2,477,9,1223,14,1829,0.0232,20,260,1235,13,26,11661,0
4200,4209,1317,3,0,98,1,483,6,1243,15,1863,0.042,20,259,1212,10,20,12269,0
4400,4409,1369,3,0,98,3,491,6,1280,16,1936,0.0325,20,229,1264,7,14,12861,0
4600,4609,1427,3,0,98,1,520,6,1319,14,2086,0.0414,20,245,1365,9,18,13435,0
4800,4809,1501,5,1,99,1,517,10,1403,14,2145,0.0438,20,273,1381,12,24,14023,1
5000,5009,1572,7,0,99,2,542,10,1403,20,2189,0.0698,20,263,1391,14,28,14632,1
5200,5209,1643,9,0,100,2,542,15,1419,19,2259,0.0794,20,256,1425,17,34,15244,1
5400,5409,1711,11,2,101,7,526,14,1440,20,2292,0.1075,20,320,1436,14,28,15857,1
5600,5609,1765,13,1,99,8,548,14,1460,20,2395,0.1142,20,299,1483,10,20,16462,1
5800,5809,1822,15,1,98,10,548,17,1473,20,2477,0.108,20,312,1471,10,20,17068,1
6000,6009,1889,18,2,96,8,555,18,1553,20,2561,0.0983,20,315,1531,8,16,17642,1
6200,6209,1936,20,2,97,5,566,16,1556,20,2647,0.1038,20,329,1547,12,24,18253,1
6400,6409,1990,22,2,103,13,536,17,1586,20,2714,0.118,20,320,1596,10,20,18864,1
