degree,count
3,4402
4,1585
5,868
6,587
7,390
8,282
9,231
10,182
11,137
12,118
13,131
14,79
15,72
16,65
17,55
18,52
19,39
20,32
21,49
22,33
23,35
24,34
25,31
26,29
27,20
28,17
29,19
30,8
31,15
32,13
33,13
34,13
35,15
36,16
37,12
38,15
39,5
40,10
41,12
42,7
43,6
44,7
45,12
46,4
47,11
48,2
49,4
50,6
51,5
52,6
53,7
54,4
55,5
56,5
57,6
58,2
59,3
60,3
61,4
62,7
63,5
64,5
65,2
66,7
67,3
68,3
69,3
70,3
71,3
72,2
73,4
74,1
75,3
76,2
77,2
78,2
79,1
80,2
82,2
83,1
84,1
85,2
86,4
88,3
89,5
90,1
91,1
92,1
93,4
94,4
95,2
96,1
97,1
98,1
99,2
100,2
101,2
102,5
103,2
106,1
108,1
109,1
110,1
111,1
113,1
116,1
118,1
120,1
122,2
123,1
125,1
126,2
128,1
129,2
130,1
136,1
138,1
140,2
141,2
143,1
146,1
147,2
149,2
151,1
152,2
154,1
155,1
156,1
158,2
160,1
163,1
173,1
174,1
179,1
181,1
183,1
184,1
188,1
189,1
192,2
203,1
215,1
216,1
223,1
224,2
225,1
227,1
235,1
236,1
279,1
290,1
299,1
309,2
311,1
336,1
383,1
453,2
454,1
467,1
539,1
