degree,count
3,4065
4,1510
5,866
6,542
7,425
8,312
9,226
10,172
11,176
12,135
13,113
14,104
15,108
16,73
17,84
18,65
19,78
20,58
21,46
22,39
23,42
24,37
25,44
26,40
27,29
28,38
29,34
30,30
31,24
32,17
33,18
34,26
35,18
36,15
37,14
38,12
39,12
40,10
41,9
42,14
43,15
44,11
45,13
46,8
47,7
48,8
49,5
50,8
51,9
52,7
53,10
54,3
55,8
56,5
57,3
58,4
59,2
60,4
61,5
62,2
63,7
64,4
65,3
66,6
67,6
68,3
69,5
70,5
71,5
72,2
74,1
75,6
76,6
77,1
78,2
79,2
80,1
81,3
82,2
83,2
84,3
85,1
87,2
88,5
89,2
90,3
91,5
92,3
93,2
94,2
95,3
96,2
97,1
98,1
99,2
100,2
101,1
102,3
103,1
104,2
105,1
106,2
108,2
109,2
110,2
112,2
113,1
114,2
116,1
118,1
120,3
123,1
130,2
132,1
133,1
135,3
138,2
139,1
140,1
145,1
146,1
148,1
150,1
156,2
159,1
162,1
163,1
165,1
167,1
168,2
176,2
178,1
179,1
184,1
185,1
187,1
190,1
192,1
194,1
203,1
221,1
222,1
231,1
233,1
236,1
250,1
260,1
262,1
286,1
328,1
335,1
358,1
395,1
403,1
406,1
409,1
450,1
457,1
525,1
530,1
596,1
