step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0
400,409,104,-1,0,69,0,168,0,216,0,224,0,19,51,213,0,0,1153,0
600,609,162,-1,0,77,0,217,0,304,0,338,0,19,57,305,0,0,1724,0
800,809,218,-1,0,80,0,249,0,377,0,440,0,20,71,392,0,0,2300,0
1000,1009,268,-1,0,84,0,282,0,447,0,519,0,19,81,452,2,4,2883,0
1200,1209,336,-1,0,88,0,315,0,539,0,627,0,20,93,541,2,4,3441,0
1400,1409,399,-1,0,85,0,341,0,594,0,708,0,19,91,587,4,8,4026,0
1600,1609,457,-1,0,86,0,352,0,634,0,782,0,20,132,630,8,16,4630,0
1800,1809,518,-1,0,91,0,367,0,695,0,881,0,20,138,702,6,12,5215,0
2000,2009,581,-1,0,92,0,388,0,755,0,969,0,20,136,749,14,28,5811,0
2200,2209,646,-1,0,92,0,406,0,833,0,1074,0,20,162,828,10,20,6386,0
2400,2409,699,-1,0,96,0,406,0,885,0,1157,0,20,166,866,25,50,7006,0
2600,2609,765,-1,0,94,0,429,0,918,0,1216,0,20,177,909,28,56,7644,0
2800,2809,828,-1,0,96,0,418,0,932,0,1284,0,20,190,948,25,50,8289,0
3000,3009,876,3,1,97,1,444,3,997,7,1392,0,20,225,1011,25,50,8917,0
3200,3209,940,3,0,99,2,471,3,1070,6,1491,0.015,20,208,1058,27,54,9528,0
3400,3409,1004,3,0,96,1,475,1,1094,5,1558,0.0117,20,219,1113,29,58,10173,0
3600,3609,1072,3,0,98,0,480,8,1130,8,1625,0.0091,20,229,1127,26,52,10814,0
3800,3809,1132,3,0,92,2,497,5,1155,8,1700,0.007,20,241,1165,25,50,11454,0
4000,4009,1189,3,0,97,3,505,5,1198,8,1779,0.0053,20,239,1208,23,46,12075,0
4200,4209,1252,3,2,99,2,496,3,1225,11,1837,0.004,20,262,1231,17,34,12691,0
4400,4409,1310,3,1,101,3,509,2,1273,10,1937,0.0029,20,242,1255,17,34,13302,0
4600,4609,1364,3,0,97,3,509,4,1376,11,2082,0.002,20,276,1377,25,50,13888,0
4800,4809,1418,3,0,95,0,542,4,1400,12,2169,0.0014,20,310,1418,30,60,14538,0
5000,5009,1482,3,0,101,0,551,7,1481,9,2286,0.0008,20,302,1456,36,72,15158,0
5200,5209,1540,3,0,101,2,577,4,1559,11,2393,0.0168,20,319,1536,35,70,15800,0
5400,5409,1594,3,0,102,2,555,3,1559,8,2466,0.0129,20,312,1559,33,66,16451,0
5600,5609,1659,3,1,101,1,572,4,1598,13,2545,0.0097,20,305,1597,31,62,17078,0
5800,5809,1706,5,1,100,3,574,8,1635,12,2629,0.0672,20,348,1624,29,58,17719,1
6000,6009,1767,7,1,101,1,577,10,1642,17,2710,0.0585,20,344,1686,30,60,18357,1
6200,6209,1824,9,0,102,3,584,10,1680,18,2785,0.0567,20,362,1656,30,60,19000,1
6400,6409,1886,11,0,103,3,568,14,1691,17,2852,0.0547,20,315,1699,31,62,19653,1
6600,6609,1945,13,0,102,2,590,13,1694,19,2920,0.0432,20,370,1693,33,66,20310,1
6800,6809,2012,15,2,103,5,595,20,1735,20,3004,0.0339,20,381,1721,32,64,20955,1
7000,7009,2066,18,2,103,7,578,18,1787,20,3064,0.0265,20,385,1772,38,76,21604,1
7200,7209,2131,20,2,103,4,598,20,1795,20,3138,0.0413,20,365,1814,43,86,22281,1
7400,7409,2186,22,3,100,4,601,18,1819,20,3206,0.0324,20,367,1842,41,82,22946,1
7600,7609,2249,25,2,100,8,612,17,1834,20,3303,0.0375,20,370,1863,40,80,23599,1
7800,7809,2295,27,1,104,4,609,17,1886,20,3409,0.046,20,413,1902,40,80,24257,1
8000,8009,2355,29,1,104,11,625,19,1900,20,3469,0.047,20,382,1869,39,78,24918,1
8200,8209,2417,31,1,102,10,613,20,1960,20,3546,0.0426,20,418,1932,44,88,25587,1
8400,8409,2481,33,2,100,7,584,19,1936,20,3599,0.0437,20,400,1926,45,90,26257,1
8600,8609,2539,35,2,101,8,632,19,1973,20,3700,0.0343,20,390,1973,55,110,26937,1
8800,8809,2589,37,0,106,8,634,18,2016,20,3765,0.0491,20,409,1967,54,108,27632,1
9000,9009,2645,39,1,103,7,626,19,2011,20,3849,0.0387,20,440,2026,55,110,28332,1
9200,9209,2709,41,1,105,7,629,19,2047,20,3915,0.0357,20,431,2021,59,118,29036,1
9400,9409,2767,43,1,103,6,633,16,2106,20,3985,0.038,20,403,2053,74,148,29771,1
9600,9609,2825,45,2,102,14,642,20,2018,20,4045,0.0298,20,393,2063,72,144,30498,1
