step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,65,-1,0,56,0,100,0,114,0,116,0,16,25,115,0,0,562,0
400,409,132,-1,0,71,0,170,0,206,0,218,0,18,54,210,0,0,1115,0
600,609,193,-1,0,77,0,218,0,287,0,308,0,19,52,286,0,0,1684,0
800,809,261,-1,0,81,0,246,0,350,0,388,0,18,47,350,0,0,2258,0
1000,1009,318,-1,0,82,0,263,0,407,0,450,0,20,76,394,1,2,2842,0
1200,1209,374,-1,0,86,0,291,0,476,0,557,0,20,90,482,1,2,3413,0
1400,1409,430,-1,0,87,0,316,0,543,0,656,0,20,109,546,1,2,3973,0
1600,1609,491,-1,0,89,0,344,0,606,0,750,0,19,122,604,1,2,4548,0
1800,1809,555,-1,0,92,0,366,0,673,0,837,0,20,147,692,0,0,5114,0
2000,2009,620,-1,0,93,0,378,0,744,0,931,0,19,130,726,1,2,5687,0
2200,2209,671,-1,0,91,0,384,0,790,0,1037,0,20,159,796,1,2,6266,0
2400,2409,730,-1,0,91,0,403,0,826,0,1119,0,20,140,836,2,4,6855,0
2600,2609,798,-1,0,94,0,416,0,882,0,1177,0,20,182,887,4,8,7449,0
2800,2809,867,-1,0,91,0,416,0,941,0,1287,0,20,194,935,4,8,8012,0
3000,3009,946,3,0,96,0,440,8,961,14,1359,0,20,200,947,4,8,8602,0
3200,3209,991,3,0,91,7,442,7,1013,16,1440,0,20,195,1006,11,22,9208,0
3400,3409,1050,3,0,98,2,437,8,1018,17,1494,0,20,225,1047,10,20,9810,0
3600,3609,1105,3,1,96,2,452,6,1070,15,1601,0,19,214,1076,12,24,10416,0
3800,3809,1159,3,0,96,6,467,6,1095,11,1677,0,20,231,1113,11,22,11026,0
4000,4009,1222,3,0,98,0,496,7,1173,9,1768,0,20,232,1165,12,24,11616,0
4200,4209,1285,3,0,97,3,474,4,1179,15,1819,0,20,235,1166,12,24,12223,0
4400,4409,1341,3,0,98,1,493,7,1245,11,1928,0,20,246,1229,21,42,12836,0
4600,4609,1400,3,0,97,3,510,3,1263,9,2019,0,20,232,1258,23,46,13450,0
4800,4809,1454,3,0,98,2,508,4,1301,9,2089,0,20,278,1297,23,46,14077,0
5000,5009,1512,3,0,98,2,506,4,1345,14,2169,0,20,266,1347,22,44,14711,0
5200,5209,1571,3,0,99,5,522,6,1346,9,2237,0,20,269,1348,24,48,15344,0
5400,5409,1622,3,1,99,5,508,5,1361,7,2287,0.0138,20,281,1370,24,48,15982,0
5600,5609,1671,3,0,99,2,509,6,1415,7,2382,0.0108,20,276,1410,25,50,16616,0
5800,5809,1725,3,0,97,0,535,6,1443,8,2447,0.0084,20,290,1431,27,54,17261,0
6000,6009,1797,3,0,97,1,520,8,1443,8,2511,0.0064,20,276,1424,28,56,17901,0
6200,6209,1853,3,0,98,0,539,3,1440,11,2584,0.0409,20,317,1484,27,54,18546,0
6400,6409,1918,3,1,98,1,527,9,1489,9,2692,0.0481,20,305,1515,30,60,19176,0
6600,6609,1970,3,0,99,2,533,3,1511,11,2727,0.0372,20,285,1487,31,62,19833,0
6800,6809,2026,5,0,98,2,539,8,1530,15,2806,0.0612,20,313,1576,35,70,20491,1
7000,7009,2084,7,0,98,5,538,10,1578,16,2927,0.0704,20,312,1562,37,74,21136,1
7200,7209,2152,9,0,99,5,555,10,1597,18,2986,0.0549,20,345,1598,40,80,21804,1
