degree,count
3,4484
4,1612
5,802
6,568
7,410
8,273
9,218
10,175
11,122
12,119
13,103
14,73
15,83
16,58
17,60
18,47
19,52
20,43
21,38
22,39
23,34
24,24
25,26
26,17
27,21
28,17
29,20
30,24
31,18
32,22
33,16
34,8
35,17
36,11
37,16
38,13
39,9
40,13
41,6
42,14
43,12
44,11
45,7
46,3
47,4
48,4
49,4
50,3
51,4
52,4
53,5
54,8
55,3
56,3
57,4
58,1
59,5
60,3
61,4
62,4
63,3
64,3
65,3
66,2
67,4
68,5
69,3
70,2
71,4
72,3
73,2
74,2
75,6
76,4
77,2
78,1
79,4
80,3
82,4
83,6
84,3
85,1
86,1
87,1
88,3
89,3
90,3
91,2
92,1
94,1
95,2
96,2
97,2
98,2
99,1
101,2
102,1
103,1
104,4
109,1
110,1
111,1
113,3
114,1
115,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
128,2
129,1
130,2
131,1
132,3
133,1
136,2
137,1
138,1
139,1
140,1
141,1
145,1
146,1
149,2
154,1
156,1
159,1
161,1
163,1
166,1
170,1
171,1
173,1
174,1
176,1
177,2
182,1
183,1
187,1
189,1
192,1
198,3
201,1
202,1
208,1
210,2
221,1
222,1
223,1
234,2
240,1
248,1
259,1
261,1
262,1
264,2
281,1
301,1
320,1
341,1
343,1
349,1
368,1
400,1
411,1
417,1
494,1
523,1
