degree,count
3,4362
4,1602
5,833
6,586
7,364
8,302
9,238
10,175
11,148
12,126
13,117
14,89
15,76
16,78
17,59
18,47
19,50
20,39
21,46
22,38
23,43
24,25
25,27
26,28
27,26
28,25
29,21
30,19
31,25
32,18
33,20
34,14
35,9
36,8
37,18
38,11
39,12
40,10
41,6
42,8
43,8
44,8
45,1
46,9
47,3
48,10
49,9
50,10
51,6
52,9
53,5
54,1
55,3
56,2
57,6
58,3
59,5
60,5
62,1
63,4
64,3
65,5
66,3
67,3
68,2
69,3
70,5
71,1
73,1
74,1
75,4
76,1
77,1
78,2
79,2
80,3
81,4
82,2
83,2
84,4
85,1
86,3
87,1
88,1
89,1
90,1
91,2
92,1
93,1
94,2
95,2
98,4
100,2
101,1
102,1
103,1
106,1
107,2
108,2
109,1
111,1
113,1
115,1
116,1
117,1
119,2
120,3
123,1
126,1
128,1
129,2
130,3
131,1
133,1
137,2
138,1
139,1
140,1
143,1
144,1
146,1
148,1
151,1
153,2
155,1
158,2
174,2
175,1
176,1
182,1
183,1
184,1
186,1
188,1
191,1
193,1
202,2
207,1
217,1
220,1
222,1
227,1
237,1
259,1
265,1
267,1
289,1
305,1
307,1
313,1
333,1
342,1
343,1
374,2
399,1
405,1
433,1
443,1
444,1
565,1
