step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0
400,409,104,-1,0,69,0,168,0,216,0,224,0,19,51,213,0,0,1153,0
600,609,162,-1,0,77,0,217,0,304,0,338,0,19,57,305,0,0,1724,0
800,809,218,-1,0,80,0,249,0,377,0,440,0,20,71,392,0,0,2300,0
1000,1009,268,-1,0,85,0,272,0,452,0,519,0,20,87,449,0,0,2879,0
1200,1209,332,-1,0,87,0,309,0,528,0,629,0,20,91,527,1,2,3434,0
1400,1409,379,-1,0,87,0,335,0,613,0,746,0,20,123,611,1,2,4008,0
1600,1609,444,-1,0,87,0,347,0,674,0,817,0,20,134,658,1,2,4589,0
1800,1809,495,-1,0,92,0,381,0,742,0,918,0,20,121,727,1,2,5160,0
2000,2009,549,-1,0,89,0,381,0,781,0,1008,0,20,149,783,1,2,5752,0
2200,2209,607,-1,0,90,0,410,0,821,0,1078,0,20,161,826,1,2,6340,0
2400,2409,661,-1,0,94,0,409,0,862,0,1149,0,20,175,858,5,10,6942,0
2600,2609,724,-1,0,93,0,431,0,936,0,1265,0,20,181,933,6,12,7514,0
2800,2809,788,3,1,92,4,458,10,1004,10,1374,0,20,189,1015,6,12,8095,0
3000,3009,852,3,0,99,2,482,7,1047,12,1462,0,20,241,1057,8,16,8685,0
3200,3209,922,3,1,95,2,459,7,1059,11,1516,0.0113,20,228,1062,13,26,9295,0
3400,3409,979,3,2,91,3,470,8,1084,10,1586,0.0088,20,215,1123,12,24,9909,0
3600,3609,1047,3,0,94,0,473,8,1126,11,1658,0.0068,20,214,1124,13,26,10515,0
3800,3809,1108,3,1,97,3,490,8,1165,10,1736,0.0052,20,215,1149,14,28,11121,0
4000,4009,1166,3,0,98,2,467,6,1197,14,1815,0.022,20,233,1234,16,32,11734,0
4200,4209,1220,3,0,99,2,502,8,1286,13,1937,0.017,20,271,1284,14,28,12326,0
4400,4409,1291,3,0,99,3,503,6,1325,14,2000,0.013,20,270,1309,16,32,12939,0
4600,4609,1351,3,0,99,4,526,4,1381,6,2119,0.0099,20,315,1382,20,40,13547,0
4800,4809,1403,3,1,101,3,534,8,1436,6,2249,0.0299,20,297,1459,16,32,14138,0
5000,5009,1463,3,1,99,1,548,6,1473,7,2310,0.0229,20,291,1478,18,36,14753,0
5200,5209,1531,3,0,98,1,565,4,1511,3,2393,0.0338,20,291,1517,10,20,15341,0
5400,5409,1590,3,0,101,1,568,5,1548,5,2495,0.0257,20,298,1541,11,22,15949,0
5600,5609,1657,3,1,101,0,566,6,1566,5,2549,0.0194,20,283,1559,15,30,16562,0
5800,5809,1717,3,0,98,1,563,4,1610,3,2608,0.0593,20,338,1576,14,28,17178,0
6000,6009,1773,3,0,99,1,580,4,1602,8,2716,0.0453,20,325,1639,13,26,17771,0
6200,6209,1828,3,0,99,1,567,6,1661,4,2766,0.0342,20,373,1646,13,26,18379,0
6400,6409,1892,3,0,102,1,567,3,1646,8,2858,0.0454,20,330,1687,15,30,18995,0
6600,6609,1945,3,1,101,2,589,5,1692,6,2933,0.0339,20,337,1672,14,28,19595,0
6800,6809,2005,3,0,98,1,569,4,1726,7,2991,0.0248,20,368,1704,11,22,20203,0
7000,7009,2069,3,0,102,0,565,7,1733,6,3077,0.0503,20,357,1726,14,28,20817,0
7200,7209,2120,3,0,103,3,584,4,1773,10,3148,0.0574,20,344,1804,20,40,21445,0
7400,7409,2174,3,0,101,2,578,4,1800,5,3231,0.0427,20,396,1804,22,44,22072,0
7600,7609,2228,3,0,100,0,591,4,1797,8,3308,0.0535,20,368,1839,22,44,22705,0
7800,7809,2284,3,0,98,0,577,2,1849,9,3359,0.0392,20,413,1818,23,46,23335,0
8000,8009,2351,3,0,102,0,591,4,1839,5,3410,0.0279,20,354,1841,27,54,23980,0
8200,8209,2411,3,0,98,1,595,1,1864,11,3497,0.0189,20,385,1858,26,52,24612,0
8400,8409,2460,3,0,100,1,576,2,1863,9,3615,0.0118,20,380,1915,29,58,25252,0
8600,8609,2516,3,0,102,2,594,3,1909,8,3638,0.0062,20,399,1899,27,54,25896,0
8800,8809,2578,3,0,100,0,610,5,1931,11,3746,0.0274,20,401,1928,21,42,26530,0
9000,9009,2623,3,1,101,2,613,3,1919,8,3831,0.0183,20,393,1954,30,60,27178,0
9200,9209,2685,3,0,99,0,615,5,1992,11,3931,0.0111,20,419,1959,30,60,27814,0
9400,9409,2747,3,0,97,0,627,3,1969,7,3975,0.0311,20,423,2064,31,62,28466,0
9600,9609,2814,3,0,97,0,605,5,2007,9,4030,0.0209,20,358,2013,35,70,29130,0
