degree,count
3,4199
4,1693
5,844
6,629
7,410
8,302
9,215
10,157
11,124
12,127
13,107
14,79
15,79
16,80
17,54
18,46
19,52
20,43
21,45
22,38
23,37
24,31
25,33
26,30
27,25
28,25
29,19
30,25
31,11
32,16
33,16
34,18
35,14
36,19
37,11
38,19
39,14
40,11
41,11
42,7
43,6
44,5
45,10
46,5
47,6
48,5
49,3
50,3
51,9
52,6
53,5
54,11
55,10
56,2
57,5
58,5
59,7
60,8
61,5
62,5
63,2
64,4
65,4
66,1
67,4
68,4
69,4
70,7
71,1
72,5
73,4
74,2
75,2
76,4
77,4
78,2
79,1
80,3
81,3
82,3
83,4
84,1
85,2
86,2
87,2
88,1
89,2
90,3
91,1
92,1
93,1
94,1
95,2
96,2
97,2
98,2
99,1
100,3
101,1
103,1
105,1
106,1
108,1
109,2
110,3
111,1
113,1
114,2
115,1
118,1
119,1
120,1
123,1
124,1
126,1
127,1
130,2
131,3
133,1
134,1
136,1
137,1
139,1
140,1
141,1
142,1
143,1
147,2
149,2
153,2
156,2
165,1
167,1
169,1
170,2
176,1
177,1
180,1
181,1
186,1
191,1
194,1
197,2
198,1
199,2
203,1
216,1
217,1
223,1
233,3
234,1
266,1
270,1
273,1
282,1
295,1
327,1
356,1
381,1
495,1
