step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0
400,409,126,-1,0,72,0,176,0,213,0,217,0,17,45,214,0,0,1111,0
600,609,196,-1,0,82,0,225,0,298,0,318,0,20,60,301,0,0,1644,0
800,809,245,-1,0,81,0,252,0,362,0,391,0,20,61,363,1,2,2215,0
1000,1009,306,-1,0,82,0,286,0,432,0,490,0,19,89,438,1,2,2794,0
1200,1209,377,-1,0,88,0,314,0,501,0,564,0,20,109,512,1,2,3344,0
1400,1409,425,-1,0,89,0,336,0,578,0,672,0,20,108,579,1,2,3935,0
1600,1609,480,-1,0,87,0,349,0,655,0,793,0,20,126,656,1,2,4517,0
1800,1809,543,-1,0,89,0,375,0,709,0,893,0,20,142,704,1,2,5094,0
2000,2009,592,-1,0,92,0,392,0,753,0,972,0,20,156,756,10,20,5701,0
2200,2209,653,-1,0,93,0,395,0,810,0,1066,0,20,166,818,2,4,6279,0
2400,2409,709,-1,0,92,0,416,0,896,0,1178,0,20,190,895,1,2,6851,0
2600,2609,760,-1,0,93,0,452,0,952,0,1306,0,20,195,947,10,20,7434,0
2800,2809,825,-1,0,96,0,457,0,1011,0,1396,0,20,196,1030,12,24,8011,0
3000,3009,879,3,0,97,1,469,10,1053,11,1480,0,20,226,1059,4,8,8588,0
3200,3209,951,3,0,96,4,475,9,1102,14,1535,0.0113,20,229,1087,8,16,9173,0
3400,3409,1021,3,0,95,2,494,7,1130,15,1626,0.0088,20,222,1165,17,34,9779,0
3600,3609,1081,3,3,94,1,486,9,1170,15,1691,0.0068,20,214,1194,12,24,10394,0
3800,3809,1140,3,0,95,3,495,6,1216,14,1749,0.0052,20,231,1226,7,14,10994,0
4000,4009,1202,3,0,94,2,473,5,1245,12,1816,0.004,20,233,1244,15,30,11607,0
4200,4209,1251,3,1,95,1,499,5,1241,11,1898,0.003,20,288,1252,8,16,12205,0
4400,4409,1321,3,0,97,2,504,7,1270,8,2013,0.0022,20,278,1318,10,20,12801,0
4600,4609,1379,3,0,97,1,506,5,1330,12,2060,0.0015,20,269,1319,19,38,13428,0
4800,4809,1438,3,0,98,0,486,6,1333,14,2124,0.001,20,269,1361,16,32,14051,0
5000,5009,1491,3,0,100,2,506,5,1351,7,2199,0.0006,20,264,1339,15,30,14675,0
5200,5209,1545,3,0,101,2,527,6,1390,10,2284,0.0142,20,288,1384,17,34,15295,0
5400,5409,1594,3,0,99,2,524,3,1431,5,2361,0.0109,20,319,1422,16,32,15914,0
5600,5609,1654,3,0,97,1,539,5,1474,7,2477,0.0282,20,251,1477,15,30,16511,0
5800,5809,1714,3,0,99,1,546,4,1517,12,2572,0.0218,20,325,1510,16,32,17128,0
6000,6009,1780,3,0,96,1,549,7,1585,7,2660,0.0166,20,309,1556,16,32,17721,0
6200,6209,1835,3,0,98,2,550,6,1577,10,2756,0.0125,20,341,1562,10,20,18326,0
6400,6409,1901,3,0,101,4,570,3,1627,11,2802,0.0092,20,347,1636,11,22,18918,0
6600,6609,1967,3,0,100,0,576,5,1651,7,2927,0.0366,20,340,1681,12,24,19520,0
6800,6809,2028,3,0,100,0,569,5,1721,8,2979,0.0279,20,345,1659,10,20,20121,0
7000,7009,2080,3,0,99,2,583,5,1711,6,3061,0.021,20,330,1725,11,22,20729,0
7200,7209,2140,3,0,103,1,582,3,1753,8,3089,0.0155,20,296,1700,12,24,21331,0
7400,7409,2204,3,0,101,0,593,4,1700,11,3173,0.0111,20,330,1742,16,32,21955,0
7600,7609,2268,3,0,103,1,577,2,1790,6,3254,0.0301,20,355,1757,17,34,22581,0
7800,7809,2337,3,0,101,1,596,6,1811,6,3297,0.0224,20,373,1777,25,50,23214,0
8000,8009,2389,3,0,102,2,581,4,1803,7,3402,0.0163,20,375,1804,28,56,23857,0
8200,8209,2441,3,0,102,1,592,4,1836,5,3446,0.0114,20,342,1807,27,54,24503,0
