degree,count
3,4347
4,1596
5,887
6,601
7,431
8,308
9,238
10,158
11,151
12,106
13,104
14,83
15,93
16,76
17,56
18,49
19,55
20,33
21,32
22,32
23,45
24,30
25,23
26,21
27,25
28,20
29,20
30,14
31,12
32,21
33,13
34,10
35,13
36,11
37,8
38,9
39,13
40,8
41,8
42,4
43,10
44,9
45,7
46,7
47,5
48,3
49,3
50,3
51,9
52,7
53,6
54,7
55,5
56,9
57,5
58,4
59,3
60,9
61,1
62,1
63,3
64,1
65,5
66,4
67,5
68,3
69,2
70,2
71,2
72,1
74,2
75,2
76,3
77,2
78,1
79,1
80,5
81,3
82,1
83,2
84,1
86,3
87,1
88,1
89,1
90,1
92,1
93,1
94,2
95,1
96,1
97,2
98,2
102,2
104,2
106,2
107,2
108,2
112,2
113,1
114,1
115,1
117,1
118,3
119,1
123,1
124,2
128,1
129,1
132,1
134,1
136,1
142,1
152,1
155,1
156,1
157,1
166,1
167,2
168,1
169,1
177,1
179,1
185,1
186,2
191,1
194,1
204,1
209,1
212,1
217,1
223,1
239,1
241,1
246,2
262,2
268,1
269,1
295,1
330,1
367,1
401,1
409,1
426,1
444,1
460,1
