step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,58,-1,0,55,0,103,0,113,0,111,0,10,16,113,0,0,581,0
400,409,126,-1,0,70,0,164,0,200,0,210,0,15,45,201,0,0,1132,0
600,609,184,-1,0,79,0,226,0,294,0,317,0,15,54,293,0,0,1695,0
800,809,243,-1,0,82,0,256,0,372,0,412,0,20,79,376,0,0,2262,0
1000,1009,294,-1,0,85,0,293,0,446,0,507,0,19,83,447,0,0,2838,0
1200,1209,360,-1,0,89,0,320,0,525,0,595,0,20,99,521,0,0,3392,0
1400,1409,419,-1,0,92,0,335,0,576,0,677,0,20,115,581,1,2,3969,0
1600,1609,470,-1,0,87,0,352,0,620,0,772,0,20,132,621,1,2,4545,0
1800,1809,522,-1,0,88,0,371,0,689,0,876,0,20,134,690,1,2,5126,0
2000,2009,580,-1,0,90,0,379,0,744,0,966,0,20,140,753,1,2,5701,0
2200,2209,640,-1,0,92,0,410,0,803,0,1071,0,20,151,817,1,2,6264,0
2400,2409,701,-1,0,92,0,423,0,882,0,1185,0,20,201,877,1,2,6836,0
2600,2609,765,-1,0,94,0,429,0,918,0,1251,0,20,187,930,1,2,7417,0
2800,2809,823,-1,0,95,0,435,0,950,0,1324,0,20,194,960,1,2,8008,0
3000,3009,880,3,0,96,1,443,8,993,13,1413,0,20,219,997,0,0,8593,0
3200,3209,941,3,0,95,5,439,13,1027,13,1482,0,20,210,1029,0,0,9175,0
3400,3409,1002,3,0,97,0,477,5,1078,9,1586,0,20,197,1085,1,2,9747,0
3600,3609,1057,3,1,92,2,477,8,1138,14,1694,0.012,20,219,1148,1,2,10337,0
3800,3809,1113,3,1,99,1,477,6,1189,10,1768,0.0094,20,239,1171,1,2,10929,0
4000,4009,1167,3,0,100,2,480,8,1198,12,1830,0.0073,20,221,1174,1,2,11517,0
4200,4209,1230,3,0,94,3,493,9,1247,15,1934,0.0056,20,267,1223,0,0,12083,0
4400,4409,1297,3,0,94,1,489,7,1257,10,1985,0.0242,20,269,1288,0,0,12667,0
4600,4609,1359,3,0,99,1,501,11,1298,10,2081,0.0702,20,262,1293,0,0,13248,0
4800,4809,1416,3,0,98,1,505,4,1337,9,2168,0.0931,20,264,1316,0,0,13834,0
5000,5009,1477,5,0,102,1,514,9,1366,14,2259,0.0946,20,235,1348,1,2,14424,1
5200,5209,1538,7,0,97,2,538,8,1391,13,2355,0.0915,20,280,1436,1,2,15006,1
5400,5409,1587,9,0,96,5,519,15,1402,19,2447,0.0887,20,311,1451,1,2,15596,1
5600,5609,1642,12,0,93,2,512,15,1460,19,2544,0.1003,20,288,1455,1,2,16174,1
5800,5809,1701,14,1,94,6,514,17,1477,20,2606,0.1084,20,312,1517,1,2,16763,1
6000,6009,1760,16,0,98,6,541,13,1519,20,2696,0.0841,20,278,1529,2,4,17349,1
6200,6209,1817,18,1,97,8,541,16,1563,20,2772,0.0784,20,323,1593,2,4,17943,1
6400,6409,1872,20,3,96,6,531,14,1598,18,2844,0.0726,20,351,1602,2,4,18532,1
