degree,count
3,4423
4,1649
5,856
6,587
7,387
8,287
9,184
10,176
11,152
12,127
13,118
14,96
15,60
16,69
17,56
18,58
19,52
20,41
21,33
22,40
23,24
24,34
25,32
26,17
27,23
28,26
29,13
30,21
31,13
32,11
33,16
34,14
35,15
36,11
37,11
38,10
39,6
40,8
41,8
42,8
43,4
44,10
45,4
46,8
47,4
48,5
49,5
50,4
51,4
52,4
53,3
54,5
55,4
56,3
57,3
58,3
59,2
60,6
61,9
62,1
63,4
64,1
65,4
66,5
67,1
68,2
69,5
70,5
71,6
72,1
74,2
77,2
78,1
79,1
80,2
82,1
83,3
85,1
86,2
90,3
92,1
93,6
94,1
96,1
97,2
98,2
100,3
101,3
102,1
103,1
104,1
105,1
106,2
108,1
110,1
111,1
113,3
114,1
115,3
116,3
117,1
118,3
124,2
125,1
127,1
128,2
130,1
131,2
133,1
134,1
136,1
137,1
140,1
143,1
144,1
146,1
149,1
150,1
151,1
158,1
164,1
165,1
174,2
175,1
178,1
183,1
188,1
189,1
200,1
205,1
214,1
215,1
217,1
219,1
223,1
240,1
257,1
281,1
283,2
304,1
329,2
336,1
341,2
343,1
383,1
427,1
445,1
453,1
557,1
