step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0
400,409,104,-1,0,69,0,168,0,216,0,224,0,19,51,213,0,0,1153,0
600,609,162,-1,0,77,0,217,0,304,0,338,0,19,57,305,0,0,1724,0
800,809,218,-1,0,80,0,249,0,377,0,440,0,20,71,392,0,0,2300,0
1000,1009,268,-1,0,85,0,272,0,452,0,519,0,20,87,449,0,0,2879,0
1200,1209,332,-1,0,85,0,297,0,536,0,629,0,20,91,537,0,0,3432,0
1400,1409,400,-1,0,91,0,341,0,610,0,741,0,19,109,608,0,0,3979,0
1600,1609,457,-1,0,93,0,371,0,682,0,838,0,20,133,688,0,0,4556,0
1800,1809,511,-1,0,92,0,384,0,756,0,944,0,20,131,741,0,0,5130,0
2000,2009,572,-1,0,92,0,403,0,819,0,1039,0,20,157,818,0,0,5679,0
2200,2209,636,-1,0,92,0,420,0,895,0,1122,0,20,169,868,0,0,6237,0
2400,2409,700,-1,0,94,0,437,0,922,0,1212,0,20,182,930,0,0,6824,0
2600,2609,759,-1,0,96,0,439,0,976,0,1293,0,20,178,966,1,2,7395,0
2800,2809,823,-1,0,95,0,450,0,1027,0,1385,0,20,170,1002,1,2,7988,0
3000,3009,892,3,0,95,3,460,3,1030,12,1444,0,20,224,1034,1,2,8576,0
3200,3209,956,3,0,95,3,471,7,1070,13,1505,0,20,227,1083,1,2,9148,0
3400,3409,1015,3,0,96,2,459,7,1126,9,1588,0,20,222,1130,1,2,9734,0
3600,3609,1085,3,0,96,2,471,9,1144,10,1653,0,20,228,1149,1,2,10300,0
3800,3809,1147,3,0,100,1,494,7,1209,10,1727,0,20,235,1203,1,2,10885,0
4000,4009,1217,3,0,98,4,496,6,1221,8,1842,0.0257,20,245,1248,1,2,11453,0
4200,4209,1281,3,0,97,2,512,4,1294,13,1930,0.0201,20,253,1306,1,2,12018,0
4400,4409,1335,3,0,101,4,508,2,1317,14,2013,0.038,20,253,1308,1,2,12596,0
4600,4609,1394,3,0,98,2,522,3,1339,12,2088,0.0445,20,260,1357,2,4,13180,0
4800,4809,1453,3,1,101,1,523,4,1387,9,2164,0.0344,20,307,1367,1,2,13767,0
5000,5009,1501,3,0,98,0,531,7,1414,8,2244,0.0443,20,275,1397,2,4,14353,0
5200,5209,1572,3,0,95,2,535,5,1445,10,2319,0.0789,20,305,1434,3,6,14943,0
5400,5409,1620,3,0,98,1,530,5,1493,11,2429,0.0607,20,275,1478,3,6,15524,0
5600,5609,1672,3,0,97,1,532,4,1505,10,2498,0.0626,20,328,1501,3,6,16124,0
5800,5809,1750,3,0,98,3,537,2,1546,10,2600,0.0774,20,327,1577,3,6,16688,0
6000,6009,1805,5,0,98,2,567,3,1571,12,2673,0.0813,20,333,1581,3,6,17285,1
6200,6209,1865,7,1,98,2,551,6,1642,15,2756,0.1032,20,320,1606,3,6,17865,1
6400,6409,1924,9,1,99,6,574,8,1624,18,2843,0.0908,20,294,1636,2,4,18453,1
6600,6609,1989,11,0,99,2,557,10,1665,20,2925,0.0691,20,355,1650,1,2,19042,1
6800,6809,2042,13,0,97,3,554,10,1648,17,3001,0.0665,20,335,1666,1,2,19632,1
7000,7009,2091,15,0,98,3,544,13,1666,20,3065,0.0797,20,349,1705,1,2,20220,1
7200,7209,2141,17,1,99,4,551,17,1696,19,3172,0.0762,20,339,1747,2,4,20800,1
7400,7409,2196,19,1,101,5,590,16,1756,20,3234,0.0741,20,353,1742,2,4,21392,1
7600,7609,2257,21,0,100,6,573,16,1740,19,3304,0.0818,20,385,1767,2,4,21977,1
7800,7809,2316,23,1,98,6,572,17,1779,19,3378,0.0886,20,382,1814,2,4,22565,1
8000,8009,2391,25,1,96,9,585,17,1748,18,3410,0.0896,20,360,1773,4,8,23159,1
8200,8209,2454,27,2,102,5,574,18,1841,20,3491,0.0912,20,382,1833,4,8,23743,1
8400,8409,2510,30,1,101,4,581,14,1844,20,3571,0.0876,20,397,1823,4,8,24339,1
8600,8609,2570,32,1,102,11,582,20,1887,19,3711,0.0742,20,382,1865,5,10,24920,1
8800,8809,2637,34,0,102,5,581,17,1917,19,3765,0.0853,20,379,1923,4,8,25513,1
9000,9009,2703,36,0,101,10,609,18,1865,20,3825,0.095,20,389,1946,4,8,26104,1
9200,9209,2763,38,3,98,7,614,20,1910,20,3895,0.0789,20,416,1873,6,12,26701,1
9400,9409,2834,41,2,102,10,602,18,1935,20,3971,0.0806,20,412,1956,6,12,27296,1
9600,9609,2900,44,1,100,6,607,19,2028,20,4065,0.0718,20,379,1996,7,14,27889,1
