step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,62,-1,0,58,0,100,0,115,0,116,0,13,21,114,0,0,563,0
400,409,134,-1,0,70,0,163,0,199,0,206,0,19,37,200,0,0,1125,0
600,609,190,-1,0,78,0,210,0,290,0,309,0,20,61,292,0,0,1695,0
800,809,245,-1,0,80,0,251,0,374,0,413,0,20,68,377,0,0,2251,0
1000,1009,303,-1,0,85,0,283,0,448,0,505,0,20,86,442,0,0,2823,0
1200,1209,367,-1,0,86,0,305,0,510,0,585,0,20,75,507,1,2,3403,0
1400,1409,422,-1,0,88,0,322,0,566,0,675,0,20,122,559,2,4,3995,0
1600,1609,475,-1,0,90,0,346,0,627,0,765,0,20,114,622,1,2,4579,0
1800,1809,534,-1,0,88,0,372,0,678,0,855,0,20,138,670,2,4,5165,0
2000,2009,584,-1,0,90,0,381,0,744,0,961,0,20,143,736,3,6,5757,0
2200,2209,645,-1,0,91,0,384,0,809,0,1049,0,20,171,775,4,8,6342,0
2400,2409,712,-1,0,92,0,402,0,829,0,1138,0,20,171,845,11,22,6947,0
2600,2609,768,-1,0,92,0,415,0,888,0,1227,0,20,170,897,10,20,7548,0
2800,2809,822,-1,0,97,0,435,0,928,0,1296,0,20,188,923,13,26,8157,0
3000,3009,895,3,1,96,1,436,3,1000,5,1398,0,20,203,998,11,22,8755,0
3200,3209,956,3,1,95,2,445,2,1014,3,1463,0.03,20,205,1005,12,24,9363,0
3400,3409,1008,3,0,93,1,442,1,1033,2,1536,0.0234,20,192,1042,12,24,9973,0
3600,3609,1073,3,1,97,2,464,2,1089,3,1644,0.0181,20,231,1103,12,24,10562,0
3800,3809,1130,3,0,93,1,466,1,1138,2,1702,0.0139,20,223,1126,15,30,11178,0
4000,4009,1191,3,1,98,3,468,0,1186,2,1796,0.0106,20,258,1152,15,30,11791,0
