degree,count
3,4419
4,1614
5,866
6,590
7,353
8,294
9,225
10,192
11,133
12,144
13,117
14,93
15,81
16,72
17,49
18,44
19,41
20,35
21,39
22,34
23,33
24,24
25,18
26,27
27,23
28,24
29,21
30,17
31,16
32,17
33,10
34,18
35,12
36,12
37,5
38,9
39,14
40,15
41,8
42,4
43,7
44,8
45,7
46,7
47,4
48,11
49,5
50,3
51,4
52,1
53,7
54,6
55,4
56,6
57,3
58,2
59,4
60,5
61,4
62,3
63,1
64,6
65,1
66,3
68,2
69,1
70,2
71,4
72,4
74,1
75,3
76,3
77,1
78,4
79,2
80,2
81,1
82,4
83,3
84,4
87,1
88,3
89,3
91,1
92,5
93,1
95,2
96,3
98,1
101,2
103,2
105,1
106,2
107,1
108,2
109,1
110,1
112,3
113,1
116,2
118,1
119,3
121,2
123,1
124,1
134,1
136,1
138,1
139,1
141,1
143,1
149,1
154,1
159,2
160,1
162,1
163,1
165,1
167,1
170,1
171,1
172,1
174,1
180,1
182,1
188,1
190,1
192,1
203,1
205,1
210,1
212,1
217,1
220,1
225,1
232,1
240,1
243,1
244,1
249,1
254,2
260,1
262,1
279,1
295,1
317,1
328,1
336,1
384,1
408,1
418,1
436,1
468,1
