degree,count
3,4396
4,1645
5,901
6,560
7,420
8,286
9,226
10,179
11,137
12,114
13,90
14,75
15,77
16,61
17,63
18,55
19,52
20,40
21,37
22,41
23,27
24,23
25,18
26,22
27,25
28,22
29,20
30,16
31,17
32,12
33,18
34,8
35,16
36,11
37,10
38,5
39,8
40,12
41,3
42,9
43,5
44,8
45,7
46,5
47,4
48,6
49,8
50,5
51,7
52,6
53,3
54,7
55,4
56,3
57,2
58,2
59,3
60,1
61,4
62,5
63,1
64,7
65,2
66,1
67,5
68,2
69,7
70,3
71,4
72,3
73,3
75,5
76,1
77,2
79,2
80,1
81,2
82,5
83,3
84,2
85,1
86,3
87,1
89,4
90,3
91,2
92,1
93,2
94,1
95,2
96,1
97,2
98,2
99,2
105,2
108,1
109,2
110,2
111,1
112,1
113,2
115,2
117,1
118,1
120,1
121,1
122,2
123,1
125,3
126,2
128,1
129,2
130,1
131,1
132,1
137,2
142,1
146,1
148,1
151,3
155,1
160,2
162,2
172,1
175,1
189,1
190,2
194,1
195,1
200,1
208,1
209,1
213,1
218,1
235,1
236,1
262,1
272,1
290,1
293,1
333,1
370,1
390,1
396,1
414,1
422,1
425,1
507,1
516,1
