step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,58,-1,0,55,0,103,0,113,0,111,0,10,16,113,0,0,581,0
400,409,126,-1,0,70,0,164,0,200,0,210,0,15,45,201,0,0,1132,0
600,609,184,-1,0,79,0,226,0,294,0,317,0,15,54,293,0,0,1695,0
800,809,243,-1,0,82,0,256,0,372,0,412,0,20,79,376,0,0,2262,0
1000,1009,294,-1,0,86,0,277,0,452,0,499,0,19,86,452,2,4,2842,0
1200,1209,352,-1,0,86,0,312,0,511,0,599,0,19,99,518,1,2,3418,0
1400,1409,417,-1,0,89,0,327,0,573,0,690,0,20,116,581,1,2,3990,0
1600,1609,481,-1,0,88,0,323,0,625,0,770,0,20,130,640,1,2,4562,0
1800,1809,537,-1,0,92,0,377,0,676,0,872,0,20,135,684,2,4,5141,0
2000,2009,599,-1,0,93,0,392,0,748,0,949,0,20,146,755,3,6,5720,0
2200,2209,657,-1,0,95,0,407,0,827,0,1063,0,20,149,827,1,2,6278,0
2400,2409,718,-1,0,94,0,422,0,882,0,1160,0,20,181,887,3,6,6853,0
2600,2609,778,-1,0,96,0,453,0,962,0,1283,0,20,199,973,0,0,7403,0
2800,2809,839,-1,0,98,0,451,0,1007,0,1369,0,20,192,1013,1,2,7990,0
3000,3009,886,3,1,97,1,483,3,1085,8,1488,0,20,233,1071,2,4,8576,0
3200,3209,954,3,0,101,2,479,8,1114,5,1564,0,20,199,1083,1,2,9158,0
3400,3409,1013,3,0,97,4,486,6,1143,12,1620,0,20,217,1121,2,4,9746,0
3600,3609,1083,3,0,98,2,495,4,1163,4,1693,0.0138,20,235,1172,2,4,10338,0
3800,3809,1138,3,0,95,1,496,4,1214,6,1786,0.0108,20,237,1218,2,4,10921,0
4000,4009,1196,3,0,99,4,501,4,1251,11,1871,0.0084,20,246,1253,2,4,11511,0
4200,4209,1263,3,0,97,1,508,2,1271,5,1953,0.0064,20,268,1300,1,2,12089,0
4400,4409,1319,3,1,98,1,506,3,1328,3,2049,0.0049,20,294,1326,3,6,12676,0
4600,4609,1377,3,0,98,1,496,2,1347,7,2128,0.0037,20,283,1360,3,6,13263,0
4800,4809,1446,3,0,99,0,520,3,1403,6,2193,0.0541,20,276,1391,3,6,13855,0
5000,5009,1495,3,0,95,1,523,1,1391,6,2264,0.042,20,255,1408,4,8,14456,0
5200,5209,1559,3,1,98,1,529,3,1446,5,2353,0.0324,20,290,1456,5,10,15037,0
5400,5409,1614,3,0,98,3,531,5,1473,5,2434,0.0247,20,293,1481,5,10,15626,0
5600,5609,1672,3,0,98,3,547,4,1508,1,2517,0.0324,20,275,1519,5,10,16213,0
5800,5809,1726,3,0,96,1,552,2,1521,3,2590,0.1144,20,316,1527,5,10,16817,0
6000,6009,1793,3,0,101,1,542,6,1561,3,2642,0.0883,20,320,1561,4,8,17403,0
6200,6209,1855,3,0,96,0,558,0,1565,6,2717,0.0675,20,331,1561,4,8,17998,0
6400,6409,1919,3,0,99,2,539,1,1601,3,2768,0.0509,20,333,1632,4,8,18598,0
