degree,count
3,4362
4,1639
5,954
6,532
7,401
8,306
9,243
10,182
11,142
12,110
13,106
14,87
15,85
16,66
17,53
18,48
19,42
20,31
21,33
22,34
23,30
24,27
25,24
26,20
27,26
28,18
29,16
30,17
31,18
32,17
33,15
34,10
35,9
36,9
37,13
38,7
39,9
40,6
41,4
42,6
43,7
44,7
45,6
46,4
47,6
48,8
49,4
50,6
51,7
52,4
53,4
54,4
55,9
56,4
57,2
58,3
59,4
60,4
61,7
62,3
63,1
65,4
66,8
67,4
68,1
69,1
70,1
71,6
72,1
73,3
74,5
75,1
76,3
77,3
78,1
81,2
82,3
84,3
85,1
86,1
87,1
88,4
89,1
90,1
92,4
93,1
95,2
96,2
98,1
99,1
101,2
105,1
106,1
107,1
108,1
110,1
111,1
112,5
113,1
114,2
115,2
116,1
120,1
121,1
124,2
127,1
128,1
131,2
132,1
135,3
137,1
140,1
141,2
144,2
145,2
147,2
148,1
155,1
161,1
162,1
167,1
168,1
169,1
171,2
172,1
174,1
176,1
178,1
182,1
183,1
194,1
196,1
197,1
200,2
205,1
209,1
224,1
260,1
279,1
281,1
283,1
288,1
296,1
315,1
322,1
337,1
362,1
379,1
396,1
480,1
482,1
505,1
600,1
